NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES,Latitude,Longitude
Chili's Grill & Bar,700,"['Tex-Mex', 'Fast Food']",Bhubaneswar,Sahid Nagar,https://www.zomato.com/bhubaneswar/chilis-grill-bar-sahid-nagar-bhubaneshwar/info,Casual Dining,4.9,303.0,20.2920779084,85.8565134555
The Cake Story (by Ocean Grill),500,['Bakery'],Kolkata,Sector 5-- Salt Lake,https://www.zomato.com/kolkata/the-cake-story-by-ocean-grill-sector-5-salt-lake/info,Bakery,4.9,225.0,22.5693438754,88.4334410727
Kerala Flood Relief,100,['Indian'],Kochi,Angamali,https://www.zomato.com/kochi/kerala-flood-relief-angamali/info,Quick Bites,4.9,302.0,,
Hudson Oven,800,"['Cafe', 'Pizza']",Delhi NCR,Delhi University-GTB Nagar,https://www.zomato.com/ncr/hudson-oven-delhi-university-gtb-nagar-new-delhi/info,Café,4.9,245.0,,
Indian Grill Room,1800,"['North Indian', 'Mughlai']",Delhi NCR,Suncity Business Tower-- Golf Course Road,https://www.zomato.com/ncr/indian-grill-room-golf-course-road-gurgaon/info,Casual Dining,4.9,3073.0,28.4335201714,77.1054380760
The Salt Cafe Kitchen & Bar,1000,"['North Indian', 'Continental', 'Italian']",Agra,Tajganj,https://www.zomato.com/agra/the-salt-cafe-kitchen-bar-tajganj/info,Casual Dining,4.8,273.0,,
Barbecue Restaurant,650,['North Indian'],Nagpur,Sadar,https://www.zomato.com/nagpur/barbecue-restaurant-sadar/info,Casual Dining,4.8,1150.0,21.1588826639,79.0804226696
Pop Tate's,1500,"['North Indian', 'Chinese', 'Continental', 'Italian']",Pune,Phoenix Market City-- Viman Nagar,https://www.zomato.com/pune/pop-tates-viman-nagar/info,Casual Dining,4.8,698.0,18.5625618000,73.9170116000
Drink Your Selfie,300,"['Beverages', 'Desserts']",Pune,Viman Nagar,https://www.zomato.com/pune/drink-your-selfie-viman-nagar/info,Beverage Shop,4.8,144.0,18.5660466064,73.9142282680
Mocha,1000,['Cafe'],Kanpur,Mall Road,https://www.zomato.com/kanpur/mocha-mall-road/info,Café,4.8,852.0,26.4782930000,80.3503940000
Bombay Lassi,100,['Street Food'],Chennai,Triplicane,https://www.zomato.com/chennai/bombay-lassi-1-triplicane/info,Unknown,4.8,778.0,,
Kabab Mistri,1400,"['Mughlai', 'North Indian']",Udaipur,Fateh Sagar,https://www.zomato.com/udaipur/kabab-mistri-fateh-sagar/info,Casual Dining,4.8,575.0,24.5955003826,73.6619624868
Chili's American Grill & Bar,1400,"['Mexican', 'American', 'Tex-Mex', 'Burger', 'Salad']",Hyderabad,Banjara Hills,https://www.zomato.com/hyderabad/chilis-american-grill-bar-banjara-hills/info,Casual Dining,4.8,4666.0,17.4229387588,78.4497280419
Downtown China,750,"['Chinese', 'Thai']",Mumbai,Andheri Lokhandwala-- Andheri West,https://www.zomato.com/mumbai/downtown-china-andheri-lokhandwala/info,Casual Dining,4.8,162.0,19.1395562392,72.8269998729
