NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES
The Salt Cafe Kitchen & Bar,1000,"['North Indian', 'Continental', 'Italian']",Agra,Tajganj,https://www.zomato.com/agra/the-salt-cafe-kitchen-bar-tajganj/info,Casual Dining,4.8,273.0
Bhagat Halwai,300,"['Desserts', 'Bakery', 'Fast Food', 'South Indian']",Agra,Civil Lines,https://www.zomato.com/agra/bhagat-halwai-civil-lines/info,Quick Bites,4.3,554.0
Bikanervala,700,"['North Indian', 'South Indian', 'Mithai', 'Street Food', 'Desserts']",Agra,Khandari,https://www.zomato.com/agra/bikanervala-khandari/info,Quick Bites,4.4,645.0
Mama Chicken Mama Franky House,600,"['North Indian', 'Mughlai', 'Rolls', 'Chinese', 'Fast Food', 'Street Food']",Agra,Agra Cantt,https://www.zomato.com/agra/mama-chicken-mama-franky-house-agra-cantt/info,Quick Bites,4.3,894.0
Honeydew Restaurant,500,"['North Indian', 'Fast Food', 'Chinese', 'South Indian']",Agra,Dayal Bagh,https://www.zomato.com/agra/honeydew-restaurant-dayal-bagh/info,Quick Bites,4.1,489.0
Cafe Turquoise Cottage,1600,"['North Indian', 'Chinese', 'Continental', 'Italian', 'Pizza']",Agra,Tajganj,https://www.zomato.com/agra/cafe-turquoise-cottage-tajganj/info,Casual Dining,4.7,294.0
Hichkee,1200,"['Continental', 'North Indian', 'Chinese']",Agra,Civil Lines,https://www.zomato.com/agra/hichkee-civil-lines/info,Casual Dining,4.4,581.0
Domino's Pizza,700,"['Pizza', 'Fast Food']",Agra,Civil Lines,https://www.zomato.com/agra/dominos-pizza-civil-lines/info,Quick Bites,3.9,583.0
Urban Deck,1000,"['Mexican', 'Italian', 'North Indian']",Agra,Khandari,https://www.zomato.com/agra/urban-deck-khandari/info,Casual Dining,4.3,608.0
Pinch Of Spice,1600,"['North Indian', 'Chinese', 'Mughlai']",Agra,Civil Lines,https://www.zomato.com/agra/pinch-of-spice-civil-lines/info,Casual Dining,4.5,863.0
Pizza Hut,700,"['Italian', 'Pizza']",Agra,Tajganj,https://www.zomato.com/agra/pizza-hut-tajganj/info,Casual Dining,4.0,547.0
